"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","特優賃区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","入居時期","入居年月（西暦）","入居旬","取引態様","報酬形態","負担割合貸主","負担割合借主","配分割合元付","配分割合客付","報酬ヶ月","報酬額","賃料","賃料消費税","坪単価","㎡単価","保証金1（額）","保証金2（ヶ月）","権利金1（額）","権利金消費税（額）","権利金2（ヶ月）","礼金1（額）","礼金消費税（額）","礼金2（ヶ月）","敷金1（額）","敷金2（ヶ月）","償却コード","償却総額","償却月数","償却率","契約期間","契約期限（西暦）","解約引総額","解約引月数","解約引率","土地面積","面積計測方式","建物面積1","使用部分面積","バルコニー（テラス）面積","専用庭面積","施設費用項目（1）","施設費用（1）","用途地域（1）","用途地域（2）","登記簿地目","現況地目","都市計画","建ぺい率","容積率","地域地区","最適用途","地勢","建物賃貸借区分","建物賃貸借期間","建物賃貸借更新","管理費","管理組合有無","管理費消費税","共益費","共益費消費税","雑費","雑費消費税","その他月額費名称1","その他月額費用金額1","更新区分","更新料（額）","更新料（ヶ月）","保険加入義務","保険名称","保険料","保険期間","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","新築フラグ","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","[賃貸]賃貸戸数","[賃貸]棟総戸数","[賃貸]連棟戸数","自社管理欄"
"100089314963","03","03","01","（株）岡田不動産　新小岩支店　","03-5678-1321","","","","02","2017-12-20","2019-06-14","","","東京都","葛飾区","小菅４丁目","","高齢者向け優良賃貸　ウイング水門","","","","常磐緩行線","綾瀬","10","800","","","","","","","","","","2","","2","","","2","2","","100.00","","100.00","","","71000","","8000","3000","","","","","","","","","","3.00","","","","","0200","","","","","","","","31.60","","","","","","","","","","","","","","","","","","","","","15000","","","","緊急通報サービス","4000","","","","1","住宅総合家財","7500","1","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","1","3.0","1","","3","7.0","1","","","","","","","","","","","","","","","","","","","","","和３ＤＫ７","","","","","","","","04","","","8","","1","200304","","5","","","","","","","","","","","","６０歳以上対象（入居資格あり）。","","","",""
"100089315006","03","03","01","（株）岡田不動産　新小岩支店　","03-5678-1321","","","","02","2017-12-20","2019-06-14","","","東京都","葛飾区","小菅４丁目","","高齢者向け優良賃貸　ウイング水門","","","","常磐緩行線","綾瀬","10","800","","","","","","","","","","2","","2","","","2","2","","100.00","","100.00","","","71000","","8000","3000","","","","","","","","","","3.00","","","","","0200","","","","","","","","31.60","","","","","","","","","","","","","","","","","","","","","15000","","","","緊急通報サービス","4000","","","","1","住宅総合家財","7500","1","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","1","4.5","1","","3","5.5","1","","","","","","","","","","","","","","","","","","","","","和４．５ＤＫ５．５","","","","","","","","04","","","8","","1","200304","","5","","","","","","","","","","","","６０歳以上対象（入居資格あり）","","","",""
"100092960003","03","03","02","（有）サン、サンホーム　","03-5613-3833","","03-5613-3833","","02","2018-06-29","2019-07-07","","","東京都","足立区","東和５丁目","","ブラワーモンド東和","","","","千代田線","北綾瀬","11","","","","","","","","","","","2","","1","","","4","2","","100.00","","100.00","","","30000","","14000","5000","","","","","","","","","","","","","","","","","","","","","","","7.30","","","","","","","","","","","","","","","1","0100","","20000","","","","","","","","","1","","1.00","2","少額短期保険","","","","","","","","","","","","","","","","","","","","","","","","","01","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","2","","2","201505","","","","","","","","","","","","","","","","12","","０００００００４４９"
"100093319078","03","03","01","（株）マルトミＡＭ　","03-3308-0321","","","","02","2018-07-18","2019-07-09","","","東京都","世田谷区","南烏山５丁目","１８－１０","カーサアマリリオ","203","","","京王線","千歳烏山","2","160","","","","","","","","","","2","","1","","","3","2","","100.00","","100.00","","","95000","","11000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","28.71","3.00","","","","","","","","","","","","","","","","","7000","","","","","","","","","1","","1.00","1","ＡＩＧリビングパートナー","21000","2","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","2","6.7","1","","3","4.8","1","","","","","","","","","","","","","","","","","","","","","洋　６．７　ＤＫ　４．８","4","","","","","","","04","","","5","","2","200701","","5","","","","","","","","","","","","フリーレント１ヶ月","","","",""
"100093356783","03","03","02","（株）マルトミＡＭ　","03-3308-0321","","","","02","2018-07-20","2019-07-07","","","東京都","世田谷区","北烏山７丁目","１０－１６","ピュールメゾン","101","","","京王線","千歳烏山","18","1440","7","","日本女子体育大学前","5","400","","","","","2","","1","","","3","2","","100.00","","100.00","","","64000","","10000","3000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","23.10","","","","","","","","","","","","","","","","","","2000","","","","","","","","","1","","1.00","1","ＡＩＧリビングパートナー","21000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","1","","","2","6.0","1","","7","3.0","1","","","","","","","","","","","","","","","","","","","","","洋　６　Ｋ　３","3","16000","","","","","","01","","","2","","1","200109","","6","","","","","","","","","","","","Ｊ：ＣＯＭ　ＮＥＴ　１メガ無料","","","",""
"100094119917","03","03","01","（株）マルトミＡＭ　","03-3308-0321","","","","02","2018-08-31","2019-07-09","","","東京都","世田谷区","粕谷４丁目","６－１２","ベレトワール","101","","","京王線","千歳烏山","5","400","","","","","","","","","","2","","2","","","3","2","","100.00","","100.00","","","96000","","10000","3000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","35.18","","","","","","","","","","","","","","","","","","2000","","","","","","","","","1","","1.00","1","ＡＩＧリビングパートナー","26000","2","","","","","","","","","","","","","","","","","","","","","","","03","1","1","","","2","6.5","1","","3","8.0","1","","","","","","","","","","","","","","","","","","","","","洋　６．５　ＤＫ　８","4","","","","","","","04","","","3","","1","200010","","","","","","","","","","","","","","女性限定","","","",""
"100095140501","03","03","02","Ｌｉｖｅ　Ｒｅａｌ　Ｅｓｔａｔｅ（株）　","03-3988-1287","","","","02","2018-10-23","2019-07-05","","","東京都","板橋区","蓮根１丁目","８－２","サークルハウス蓮根弐番館","105","","","都営三田線","蓮根","9","720","","","","","","","","","","2","","1","","","2","2","","100.00","","100.00","","","46000","","16000","5000","","","","","","","","","","","","","","","0200","","","","","","","","9.66","","","年／保証料","10800","","","","","","","","","","","","","","3000","","","","","","","","","1","","1.00","1","火災","15000","2","","","","","","","","","","","","","","","","","","","","","","","01","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","2","","1","201801","","","","","","","","","","","","","","","","","",""
"100095422130","03","03","01","（株）ウィンズプロモーション　","03-5469-1385","株式会社ウィンズプロモーション管理部　","03-5469-1385","moto@winspro.co.jp","02","2018-11-06","2019-07-10","","","東京都","江東区","大島３丁目","３２－１１","ラヴァンド大島","1204","","","都営新宿線","大島","3","","","","","","","","","","","2","","1","","","4","","","100.00","","100.00","","","99000","","13000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","25.69","","","","","","","","","","","","","","","","","","15000","","","","","","","","","1","","1.00","1","東京海上ミレア少額短期保険","17000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","2","7.0","2","","7","5.8","","","2","5.8","","","1","4.0","","","","","","","","","","","","","","","1","21600","","","","","","04","","","14","","12","201809","1","5","","","","","","","","","","","契約時事務手数料不要！！","ＡＤがある場合は契約金入金確認後即支払います！！","","","",""
"100095650340","03","03","01","（株）ウィンズプロモーション　","03-5469-1385","株式会社ウィンズプロモーション管理部　","03-5469-1385","moto@winspro.co.jp","02","2018-11-18","2019-07-10","","","東京都","江東区","大島３丁目","３２－１１","ラヴァンド大島","1403","","","都営新宿線","大島","3","","","","","","","","","","","2","","1","","","4","","","100.00","","100.00","","","100000","","13000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","25.69","","","","","","","","","","","","","","","","","","15000","","","","","","","","","1","","1.00","1","東京海上ミレア少額短期保険","17000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","2","7.0","","","7","2.0","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","04","","","14","","14","201809","1","5","","","","","","","","","","","契約時事務手数料不要","ＡＤがある場合は契約金入金確認後即支払います！！","","","",""
"100095860315","03","03","01","（株）ウィンズプロモーション　","03-5469-1385","株式会社ウィンズプロモーション管理部　","03-5469-1385","moto@winspro.co.jp","02","2018-11-30","2019-07-10","","","東京都","江東区","大島３丁目","３２－１１","ラヴァンド大島","1206","","","都営新宿線","大島","3","","","","","","","","","","","2","","2","","","4","","","100.00","","100.00","","","100000","","13000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","25.72","","","","","","","","","","","","","","","","","","15000","","","","","","","","","1","","1.00","1","東京海上ミレア少額短期保険","17000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","1","","","2","7.7","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04","","","14","","12","201809","1","1","","","","","","","","","","","契約時事務手数料不要","ＡＤがある場合は契約金の入金確認後すぐに支払います","","","",""
"100095860370","03","03","01","（株）ウィンズプロモーション　","03-5469-1385","株式会社ウィンズプロモーション管理部　","03-5469-1385","moto@winspro.co.jp","02","2018-11-30","2019-07-10","","","東京都","江東区","大島３丁目","３２－１１","ラヴァンド大島","1202","","","都営新宿線","大島","3","","","","","","","","","","","2","","1","","","4","","","100.00","","100.00","","","98000","","13000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","25.69","","","","","","","","","","","","","","","","","","15000","","","","","","","","","1","","1.00","1","東京海上ミレア少額短期保険","17000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","2","7.0","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04","","","14","","12","201809","1","5","","","","","","","","","","","契約時事務手数料不要","ＡＤがある場合は契約金の入金確認後すぐに支払います","","","",""
"100095860389","03","03","01","（株）ウィンズプロモーション　","03-5469-1385","株式会社ウィンズプロモーション管理部　","03-5469-1385","moto@winspro.co.jp","02","2018-11-30","2019-07-10","","","東京都","江東区","大島３丁目","３２－１１","ラヴァンド大島","1201","","","都営新宿線","大島","3","","","","","","","","","","","2","","1","","","4","","","100.00","","100.00","","","99000","","13000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","25.69","","","","","","","","","","","","","","","","","","15000","","","","","","","","","1","","1.00","1","東京海上ミレア少額短期保険","17000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","2","7.0","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04","","","14","","12","201809","1","5","","","","","","","","","","","契約時事務手数料不要","ＡＤがある場合は契約金の入金確認後すぐに支払います","","","",""
"100096989087","03","03","02","（株）大介　","03-5408-7735","新橋店","0354057821","","02","2019-01-29","2019-07-09","","","東京都","練馬区","南田中１丁目","１４ー３","ピュアガーデン　ミツミ","103","","","西武新宿線","井荻","12","","","","","","","","","","","2","","","","","3","2","","100.00","","100.00","","","51000","","10000","3000","","","","","","","","","","","","","","","","","","","","","","","18.63","","","","","","","","","","","","","","","","","","2000","","","","","","","","","","","1.00","1","","22000","2","","","","","","","","","","","","","","","","","","","","","","","01","1","","","","2","6.0","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","01","","","2","","1","200206","","4","","","","","","","","","","","","","","","","４６５５７０８－１"
"100097002464","03","03","02","（株）ホワイトホームズ　鵜の木店　","03-3759-1512","","03-3759-1512","","02","2019-01-30","2019-07-05","","","東京都","大田区","鵜の木１丁目","５－１２","コートハウス鵜の木","102","","","東急多摩川","鵜の木","4","320","","","","","","","","","","2","","1","","","3","2","","100.00","","100.00","","","52000","","15000","5000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","12.04","","","","","","","","","","","","","","","","","","","","","3000","","","","","","1","","1.00","1","火災","","","","","","","","","","","","","","","","","","","","","","","","","01","1","1","","","2","4.7","1","","","","","","","","","","","","","","","","","","","","","","","","","洋　４．７","4","","","","","","","01","","","2","","1","201503","","","","","","","","","","","","","","洗濯機付き","","","","２０８３"
"100097064959","03","03","01","（株）マルトミＡＭ　","03-3308-0321","","","","02","2019-02-02","2019-07-09","","","東京都","世田谷区","南烏山５丁目","１８－１０","カーサアマリリオ","206","","","京王線","千歳烏山","2","160","","","","","","","","","","2","","1","","","3","2","","100.00","","100.00","","","95000","","11000","4000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","28.71","3.00","","","","","","","","","","","","","","","","","7000","","","","","","","","","1","","1.00","1","ＡＩＧリビングパートナー","21000","2","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","2","6.7","1","","3","4.8","1","","","","","","","","","","","","","","","","","","","","","洋　６．７　ＤＫ　４．８","4","","","","","","","04","","","5","","2","200701","","5","","","","","","","","","","","","フリーレント１ヶ月","","","",""
"100097117069","03","03","01","（株）ＣＲＳホーム　","03-6820-8892","","","","03","2019-02-04","2019-07-08","","","東京都","新宿区","高田馬場２丁目","８－１７","ＴＦマンション","203","","","山手線","高田馬場","5","","","","","","","","","","","1","","4","201907","1","","","","","","","","","72000","","13000","4000","","","","","","","","1.00","","1.00","","","","","","","","","","","","","19.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","01","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","03","","","3","","2","199900","","","","","","","","","","","","","■７月上旬退去予定■","","","","",""
"100097394965","03","03","02","グッドフェイス（株）　","03-3979-0021","","","","02","2019-02-17","2019-06-22","","","東京都","板橋区","赤塚１丁目","２５－５","アドゥヴァンス","101","","","東武東上線","下赤塚","5","","","","","","","","","","","2","","1","","","3","2","","100.00","","100.00","","","47000","","13000","4000","","","","","","","","","","1.00","","","","","","","","","","","","","12.83","","","","","","","","","","","","","","","","","","3000","2","","","","","","","","1","","1.00","1","全管協共済会","18000","2","","","","","","","","","","","","","","","","","","","","","","","01","1","1","","","","5.2","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","01","","","2","","1","200504","","4","","","","","","","","","","","","","","","",""
"100097506573","03","03","01","（株）岡田不動産　新小岩支店　","03-5678-1321","","","","02","2019-02-23","2019-06-14","","","東京都","葛飾区","小菅４丁目","","高齢者向け優良賃貸　ウイング水門","","","","常磐緩行線","綾瀬","10","800","","","","","","","","","","2","","2","","","2","2","","100.00","","100.00","","","72000","","8000","3000","","","","","","","","","","3.00","","","","","0200","","","","","","","","31.60","","","","","","","","","","","","","","","","","","","","","15000","","","","緊急通報サービス","4000","","","","1","住宅総合家財","7500","1","","","","","","","","","","","","","","","","","","","","","","","03","1","","","","1","3.0","1","","3","7.0","1","","","","","","","","","","","","","","","","","","","","","和３ＤＫ７","","","","","","","","04","","","8","","6","200304","","5","","","","","","","","","","","","６０歳以上対象（入居資格あり）。","","","",""
