"物件番号","データ種類","物件種別","物件種目","会員名","代表電話番号","問合せ担当者（1）","問合せ電話番号（1）","Eメールアドレス（1）","図面","登録年月日","変更年月日","取引条件の有効期限","特優賃区分","都道府県名","所在地名1","所在地名2","所在地名3","建物名","部屋番号","その他所在地表示","棟番号","沿線略称（1）","駅名（1）","徒歩（分）1（1）","徒歩（m）2（1）","バス（1）","バス路線名（1）","バス停名称（1）","停歩（分）（1）","停歩（m）（1）","車（km）（1）","その他交通手段","交通（分）1","交通（m）2","現況","現況予定年月","入居時期","入居年月（西暦）","入居旬","取引態様","報酬形態","負担割合貸主","負担割合借主","配分割合元付","配分割合客付","報酬ヶ月","報酬額","賃料","賃料消費税","坪単価","㎡単価","保証金1（額）","保証金2（ヶ月）","権利金1（額）","権利金消費税（額）","権利金2（ヶ月）","礼金1（額）","礼金消費税（額）","礼金2（ヶ月）","敷金1（額）","敷金2（ヶ月）","償却コード","償却総額","償却月数","償却率","契約期間","契約期限（西暦）","解約引総額","解約引月数","解約引率","土地面積","面積計測方式","建物面積1","使用部分面積","バルコニー（テラス）面積","専用庭面積","施設費用項目（1）","施設費用（1）","用途地域（1）","用途地域（2）","登記簿地目","現況地目","都市計画","建ぺい率","容積率","地域地区","最適用途","地勢","建物賃貸借区分","建物賃貸借期間","建物賃貸借更新","管理費","管理組合有無","管理費消費税","共益費","共益費消費税","雑費","雑費消費税","その他月額費名称1","その他月額費用金額1","更新区分","更新料（額）","更新料（ヶ月）","保険加入義務","保険名称","保険料","保険期間","接道状況","接道種別1","接道接面1","接道位置指定1","接道方向1","接道幅員1","接道種別2","接道接面2","接道位置指定2","接道方向2","接道幅員2","接道種別3","接道接面3","接道位置指定3","接道方向3","接道幅員3","接道種別4","接道接面4","接道位置指定4","接道方向4","接道幅員4","接道舗装","間取タイプ（1）","間取部屋数（1）","部屋位置","納戸数","室所在階1（1）","室タイプ1（1）","室広さ1（1）","室数1（1）","室所在階2（1）","室タイプ2（1）","室広さ2（1）","室数2（1）","室所在階3（1）","室タイプ3（1）","室広さ3（1）","室数3（1）","室所在階4（1）","室タイプ4（1）","室広さ4（1）","室数4（1）","室所在階5（1）","室タイプ5（1）","室広さ5（1）","室数5（1）","室所在階6（1）","室タイプ6（1）","室広さ6（1）","室数6（1）","室所在階7（1）","室タイプ7（1）","室広さ7（1）","室数7（1）","間取りその他（1）","駐車場在否","駐車場月額","駐車場月額消費税","駐車場敷金（額）","駐車場敷金（ヶ月）","駐車場礼金（額）","駐車場礼金（ヶ月）","建物構造","建物工法","建物形式","地上階層","地下階層","所在階","築年月（西暦）","新築フラグ","バルコニー方向（1）","増改築年月1","増改築履歴1","増改築年月2","増改築履歴2","増改築年月3","増改築履歴3","周辺環境1（フリー）","距離1","時間1","周辺アクセス１","備考1","備考2","[賃貸]賃貸戸数","[賃貸]棟総戸数","[賃貸]連棟戸数","自社管理欄"
"100092960003","03","03","02","（有）サン、サンホーム　","03-5613-3833","","03-5613-3833","","02","2018-06-29","2019-07-07","","","東京都","足立区","東和５丁目","","ブラワーモンド東和","","","","千代田線","北綾瀬","11","","","","","","","","","","","2","","1","","","4","2","","100.00","","100.00","","","30000","","14000","5000","","","","","","","","","","","","","","","","","","","","","","","7.30","","","","","","","","","","","","","","","1","0100","","20000","","","","","","","","","1","","1.00","2","少額短期保険","","","","","","","","","","","","","","","","","","","","","","","","","01","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","2","","2","201505","","","","","","","","","","","","","","","","12","","０００００００４４９"
"100094800286","03","03","01","（株）明光トレーディング　","03-3440-7205","関口","050-3187-7522","","02","2018-10-05","2019-07-26","","","東京都","練馬区","中村北３丁目","１１－１０","スカイコート中村橋第２","403","","","西武池袋線","中村橋","","","3","","","","","","","","","2","","2","","","1","","","","","","","","66000","","11000","4000","","","","","","","","1.00","","1.00","03","","1.00","","0200","","","","","","1","","20.72","2.80","","","","","","","","","","","","","","","","","8000","1","","","","","","","","1","","1.00","1","火災保険","20000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","04","","","7","","4","200711","","8","","","","","","","","","","","","","","","","広告掲載不可"
"100095140501","03","03","02","Ｌｉｖｅ　Ｒｅａｌ　Ｅｓｔａｔｅ（株）　","03-3988-1287","","","","02","2018-10-23","2019-07-16","","","東京都","板橋区","蓮根１丁目","８－２","サークルハウス蓮根弐番館","105","","","都営三田線","蓮根","9","720","","","","","","","","","","2","","1","","","2","2","","100.00","","100.00","","","46000","","16000","5000","","","","","","","","","","","","","","","0200","","","","","","","","9.66","","","年／保証料","10800","","","","","","","","","","","","","","3000","","","","","","","","","1","","1.00","1","火災","15000","2","","","","","","","","","","","","","","","","","","","","","","","01","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","2","","1","201801","","","","","","","","","","","","","","","","","",""
"100097002464","03","03","02","（株）ホワイトホームズ　鵜の木店　","03-3759-1512","","03-3759-1512","","02","2019-01-30","2019-07-19","","","東京都","大田区","鵜の木１丁目","５－１２","コートハウス鵜の木","102","","","東急多摩川","鵜の木","4","320","","","","","","","","","","2","","1","","","3","2","","100.00","","100.00","","","52000","","15000","5000","","","","","","","","1.00","","1.00","","","","","0200","","","","","","","","12.04","","","","","","","","","","","","","","","","","","","","","3000","","","","","","1","","1.00","1","火災","","","","","","","","","","","","","","","","","","","","","","","","","01","1","1","","","2","4.7","1","","","","","","","","","","","","","","","","","","","","","","","","","洋　４．７","4","","","","","","","01","","","2","","1","201503","","","","","","","","","","","","","","洗濯機付き","","","","２０８３"
"100097512743","03","03","01","㈱吉住ホーム　中野新橋店　","03-3299-8181","中野新橋店","0332998181","","02","2019-02-23","2019-07-27","","","東京都","足立区","扇２丁目","","アーバハイツ扇大橋","","","","日暮里舎人","扇大橋","2","","","","","","","","","","","2","","","","","3","2","","100.00","","100.00","","","80000","","11000","4000","","","","","","","","","","","","","","","","","","","","","","","25.26","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","1.00","1","","20000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","7","3.0","","","2","8.7","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","04","","","5","","4","201903","1","7","","","","","","","","","","","","","","50","","３６４８７９０３－１"
"100097512794","03","03","01","㈱吉住ホーム　中野新橋店　","03-3299-8181","中野新橋店","0332998181","","02","2019-02-23","2019-07-27","","","東京都","足立区","扇２丁目","","アーバハイツ扇大橋","","","","日暮里舎人","扇大橋","2","","","","","","","","","","","2","","","","","3","2","","100.00","","100.00","","","80000","","11000","4000","","","","","","","","","","","","","","","","","","","","","","","25.38","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","1.00","1","","20000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","7","2.5","","","2","8.8","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","04","","","5","","4","201903","1","3","","","","","","","","","","","","","","50","","３６４８８６５２－１"
"100097512806","03","03","01","㈱吉住ホーム　中野新橋店　","03-3299-8181","中野新橋店","0332998181","","02","2019-02-23","2019-07-27","","","東京都","足立区","扇２丁目","","アーバハイツ扇大橋","","","","日暮里舎人","扇大橋","2","","","","","","","","","","","2","","","","","3","2","","100.00","","100.00","","","79000","","10000","4000","","","","","","","","","","","","","","","","","","","","","","","26.23","","","","","","","","","","","","","","","","","","5000","","","","","","","","","","","1.00","1","","20000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","7","3.0","","","2","8.9","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","04","","","5","","1","201903","1","3","","","","","","","","","","","","","","50","","３６４８８７２６－１"
"100097816497","03","03","02","（株）エムズ・ウエスト　","03-5510-2225","川上","03-5510-2225","leasing@mswest.co.jp","02","2019-03-10","2019-07-19","","","東京都","葛飾区","堀切１丁目","１６－５","レジデンツ堀切","","","","京成本線","堀切菖蒲園","10","800","","","","","","","","","","2","","1","","","3","2","","100.00","","100.00","","","49000","","13000","4000","","","","","","","","","","","","","","","0200","","","","","","","","12.71","","","","","","","","","","","","","","","","","","3000","","","","","","","","","1","","1.00","1","火災","21500","2","","","","","","","","","","","","","","","","","","","","","","","01","1","1","","","2","6.5","1","","","","","","","","","","","","","","","","","","","","","","","","","洋　６．５","","","","","","","","01","","","2","","1","201108","","","","","","","","","","","","","","礼金敷金０！２駅２路線利用可","","","","１０２９４１０４"
"100097841520","03","03","02","結家不動産コンサルティング（株）　","03-5937-5245","川口","090-3919-8395","y.kawa@musubiya0401.jp","02","2019-03-11","2019-07-22","","","東京都","葛飾区","柴又４丁目","３５－１７","テラス新柴又","102","","","北総線","新柴又","3","","","","","","","","","","","2","","1","","","2","2","","100.00","","100.00","","","57000","","10000","3000","","","","","","","","","","","","","","","","","","","","","1","","19.61","","","","","","","","","","","","","","","","","","","2","","2000","","","","","","1","","1.00","1","","15000","2","1","","","","","","","","","","","","","","","","","","","","","","01","1","1","","1","2","7.0","1","","","","","","","","","","","","","","","","","","","","","","","","","","4","","","","","","","01","","","2","","1","201402","","","","","","","","","","","","","フリーレント１ヶ月","","","","","ＡＤ１００％"
"100097992147","03","03","02","三立（株）　","03-6380-9538","三枝","03-6380-9538","","00","2019-03-19","2019-07-25","","","東京都","杉並区","松ノ木２丁目","２３","ライフピア松ノ木Ｂ棟","101","","","丸ノ内線","新高円寺","13","1040","","","","","","","","","","2","","1","","","2","3","100.00","","","100.00","","","49000","","18000","6000","","","","","","","","","","1.00","","","","","0200","","","","","","","","9.44","","","","","","","","","","","","","","","","","","","","","3000","","","","","","1","","1.00","1","","20000","2","","","","","","","","","","","","","","","","","","","","","","","02","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","01","","","2","","1","200805","","","","","","","","","","","","","","","","","",""
